"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"omar apparels ltd",2766,"x","Shirts, Babies Wear",126,"0","Kaliakair",24.0261018,90.2757594,"Chandra,Shafipur,Gazipur",1998,0,0,0,1
"omar sultan dyeing and spinning mills ltd",2859,"100000","Knit Items",166,"1","Panchlaish",22.3608176,91.8256853,"House # 27, Road # 2,O.R. Nizam Road,Chittagong",1998,0,0,0,1
"omar sultan knitting mills ltd",2517,"120000","Sweaters",348,"1","Panchlaish",22.3608176,91.8256853,"House # 27, Road # 2,Nizam Road R/A,Chittagong",1997,0,0,0,1
"omega fashions ltd",2815,"200000","Jackets, Jogging Suits",150,"1","Gazipur Sadar",23.953676,90.3779667,"Choydana,K.B. Bazar,Board Bazar,Gazipur",1998,0,0,0,1
"omega knitting and fashions wear ltd",1171,"100000","Knit Garments, Hand Gloves",120,"1","Gazipur Sadar",23.953676,90.3779667,"Choydana,K.B. Bazar,Joydevpur,Gazipur",1992,0,0,0,1
"omega sweaters ltd",3151,"60000","Sweaters",249,"1","Mirpur",23.7966541,90.3536412,"4, Darus Salam Road,Section # 1,Mirpur,Dhaka",2000,0,0,0,1
"onus apparels ltd",1403,"120000","Shirts, Overalls, Pants",305,"0","Rampura",23.7628013,90.4202955,"95/B, DIT ROAD,Rampura,Dhaka",1993,0,0,0,1
"onus garments ltd",3026,"x","Shirts, Trousers",86,"0","Gazipur Sadar",23.9357893,90.3879975,"Joy Bangla Road, Barobari,Kunia,K.B. Bazar,Gazipur",1999,0,0,0,1
"onyx knittex ltd",3192,"x","x",185.238576627578,"1","Jatrabari",23.7087146,90.4365711,"Sufia Plaza (1st Floor),327-3/B, South Jatrabari,Jatrabari,Dhaka",2000,1,0,0,1
"oorvasi apparels ltd",1205,"70000","Jackets, Jogging Suites",70,"0","Khilgaon",23.7566389,90.4643906,"203/C, Khilgaon,Khilgaon,Dhaka",1992,0,0,0,1
"opex apparels ltd",2777,"100000","Shirts, Blouses, Vest",378,"0","Sonargaon",23.7056966,90.5217137,"Kanchpur,Sonargaon,Narayanganj",1998,0,0,0,1
"opex designers ltd",2571,"30000","Shirts, Blouses, Dresses Uniforms",96,"0","Sonargaon",23.7056966,90.5217137,"Kanchpur,Sonargaon,Narayanganj",1997,0,0,0,1
"opex fashions ltd ",2238,"76500","Shirts Fashion Wears, Trousers",326,"0","Mohammadpur",23.7559099,90.3725918,"I/1 & I/2, Block # C,Section # 13,Mirpur,Dhaka",1995,0,0,0,1
"opex garments ltd",203,"300000","Shirts, Blouses, Trousers",1765,"0","Mohammadpur",23.7545898,90.3706241,"56/1, Block # C, Section # 13,,Mirpur,Dhaka",1985,0,0,1,1
"opex readywears ltd",2776,"70000","Blouses, Knit Items, Jogging Suits",149,"0","Sonargaon",23.7056966,90.5217137,"Kanchpur,Sonargaon,Narayanganj",1998,0,0,0,1
"optima textile pvt ltd",2202,"275000","T-Shirts, Ladies Underwears",185.238576627578,"1","Narayanganj Sadar",23.6159947,90.4838604,"Barobagh, Enayet Nagar,Fatullah,Narayanganj",1995,1,0,0,1
"optimum ltd",3169,"87","x",130,"0","Uttara",23.8674694,90.3998824,"Amir Complex (7th Floor),Plot # 43, Sector # 3,Uttara,Dhaka",2000,0,0,0,1
"opus fashions ltd",2440,"60000","Jackets, Jogging Suit, Knit Garments",136,"0","Ramna",23.754586,90.4153506,"16, DIT Road,Malibagh,Dhaka",1997,0,0,0,1
"orbit fashions wears ltd",1994,"480000","T-Shirts, Polo Shirt",148,"1","Narayanganj Sadar",23.5795115,90.5086765,"Char Syedpur,Narayangonj-Munshigonj Road,Narayanganj",1995,0,0,0,1
"orbital garments ltd",157,"60000","Shirts, Blouses, Children Wears",125,"0","Darus Salam",23.7933511,90.3487551,"81, Mazar Road, 1st Colony,Mirpur,Dhaka",1984,0,0,1,1
"orbital sweaters ltd",2015,"60000","Sweaters, Cadigans, Jumpers",325,"1","Darus Salam",23.7933511,90.3487551,"81, Mazar Road, 1st Colony,1st Colony,Mirpur,Dhaka",1995,0,0,0,1
